"TIME","CH1","CH2","CH3"
-1.8164e+00,0.05,-0.01,-0.02
-1.8160e+00,0.08,0.01,0.02
-1.8156e+00,0.09,0.02,0.02
-1.8152e+00,0.07,-0.01,-0.02
-1.8148e+00,0.05,-0.03,-0.02
-1.8144e+00,0.03,-0.04,-0.01
-1.8140e+00,0.05,-0.03,-0.01
-1.8136e+00,0.01,-0.01,-0.02
-1.8132e+00,0.06,0,0
-1.8128e+00,0.02,-0.02,0
-1.8124e+00,0.02,-0.01,0.01
-1.8120e+00,0.03,0,-0.01
-1.8116e+00,1.42109e-16,-0.01,-0.01
-1.8112e+00,-0.03,0,-0.02
-1.8108e+00,-0.04,0,0
-1.8104e+00,1.42109e-16,-0.01,-0.02
-1.8100e+00,1.42109e-16,0.01,0
-1.8096e+00,-0.03,0.01,-0.01
-1.8092e+00,-0.07,-0.01,-0.03
-1.8088e+00,-0.07,-0.01,-0.03
-1.8084e+00,-0.03,0,0.01
-1.8080e+00,-0.03,0.01,0.01
-1.8076e+00,-0.07,0.01,-0.01
-1.8072e+00,-0.08,-0.04,-0.02
-1.8068e+00,-0.09,-0.01,-0.02
-1.8064e+00,-0.06,0.02,-0.01
-1.8060e+00,-0.05,0.02,-0.01
-1.8056e+00,-0.06,-0.02,-0.01
-1.8052e+00,-0.05,-0.02,-0.02
-1.8048e+00,-0.05,-0.02,0.01
-1.8044e+00,1.42109e-16,0.02,0
-1.8040e+00,-0.02,0.01,0
-1.8036e+00,-0.01,0,0
-1.8032e+00,1.42109e-16,0,-0.01
-1.8028e+00,0.02,0,0.01
-1.8024e+00,0.04,0.02,0
-1.8020e+00,0.06,-0.01,0.01
-1.8016e+00,0.03,-0.03,-0.02
-1.8012e+00,0.02,-0.01,-0.03
-1.8008e+00,0.06,0.01,0.02
-1.8004e+00,0.04,0.02,0.01
-1.8000e+00,0.06,-0.01,-0.01
-1.7996e+00,0.04,-0.01,-0.02
-1.7992e+00,0.1,0,0.01
-1.7988e+00,0.08,0.03,0.02
-1.7984e+00,0.05,-0.01,0.01
-1.7980e+00,0.05,-0.01,-0.02
-1.7976e+00,0.02,0.01,-0.03
-1.7972e+00,0.05,0.01,-0.01
-1.7968e+00,0.09,0.01,0.02
-1.7964e+00,0.03,0.02,0
-1.7960e+00,0.03,0,-0.01
-1.7956e+00,1.42109e-16,-0.02,-0.03
-1.7952e+00,0.02,-0.02,-0.01
-1.7948e+00,0.01,0.02,0.01
-1.7944e+00,1.42109e-16,-0.02,-0.01
-1.7940e+00,-0.02,-0.02,-0.01
-1.7936e+00,-0.04,-0.01,0
-1.7932e+00,-0.02,0.01,0.02
-1.7928e+00,-0.07,-0.02,-0.02
-1.7924e+00,-0.06,0.01,-0.02
-1.7920e+00,-0.06,0,-0.01
-1.7916e+00,-0.07,0,-0.01
-1.7912e+00,-0.05,0.01,0.02
-1.7908e+00,-0.07,-0.01,-0.01
-1.7904e+00,-0.1,-0.01,-0.01
-1.7900e+00,-0.09,-0.02,-0.01
-1.7896e+00,-0.07,0,-0.01
-1.7892e+00,-0.06,0,0.01
-1.7888e+00,-0.03,-0.03,-0.01
-1.7884e+00,-0.07,-0.02,-0.02
-1.7880e+00,-0.05,0.01,-0.02
-1.7876e+00,-0.04,-0.01,0
-1.7872e+00,1.42109e-16,0,0
-1.7868e+00,1.42109e-16,0.01,-0.01
-1.7864e+00,0.01,-0.02,-0.01
-1.7860e+00,0.03,0.01,0.01
-1.7856e+00,0.02,0.02,0.01
-1.7852e+00,0.05,0.02,0.01
-1.7848e+00,0.06,-0.01,0.01
-1.7844e+00,0.04,-0.03,-0.01
-1.7840e+00,0.06,0.02,0.01
-1.7836e+00,0.08,0.02,0.02
-1.7832e+00,0.07,0.04,0.01
-1.7828e+00,0.03,-0.03,0
-1.7824e+00,0.06,-0.02,-0.01
-1.7820e+00,0.06,0.02,-0.01
-1.7816e+00,0.08,-0.01,0
-1.7812e+00,0.06,0.02,-0.02
-1.7808e+00,0.06,-0.01,-0.01
-1.7804e+00,0.06,0,0.01
-1.7800e+00,0.06,0.02,0.01
-1.7796e+00,0.03,0.01,0
-1.7792e+00,0.01,0,0
-1.7788e+00,-0.01,0,-0.02
-1.7784e+00,0.02,-0.01,-0.01
-1.7780e+00,0.02,0.02,0.01
-1.7776e+00,1.42109e-16,0.01,-0.01
